id,created_at,text,favorite_count,retweet_count
940234995548983296,2017-12-11,"b""The Caterpillar P-5000 Work Loader made @verge's list of 18 suits of power armor from science fiction you don\xe2\x80\x99t wan\xe2\x80\xa6 https://t.co/DZf9IhNqwI""",31,14
939195645788938240,2017-12-08,b'Read favorite career moments from some of our team members who have worked at Caterpillar for 45 years!\xe2\x80\xa6 https://t.co/nVn62x1M23',16,5
939114106707238912,2017-12-08,b'We were excited to speak at #WebSummit on how our digital strategy helps customers be safer and more productive.\xe2\x80\xa6 https://t.co/krw2UgUQf6',14,7
938945745755033603,2017-12-08,b'Our machines have been working in the logging industry for over 100 years. Find out how they were used in Africa st\xe2\x80\xa6 https://t.co/aLzpxIC8O2',45,10
938846592207081472,2017-12-07,"b'Congratulations to Ferreyros, who are celebrating 95 years in business and 75 years as a Cat dealer!\xe2\x80\xa6 https://t.co/O1hUnBIqTq'",65,12
938549129650765825,2017-12-06,b'We were excited to speak at #WebSummit on how our digital strategy helps customers be safer and more productive.\xe2\x80\xa6 https://t.co/rj9IBa2rpr',13,7
938533142687776768,2017-12-06,"b""@LedoLen Hi. Please send us a DM with more information and your contact details. We'll connect you with the appropriate Caterpillar contact.""",0,0
938521706456547328,2017-12-06,b'Our machines have been working in the logging industry for over 100 years. Find out how they were used in Africa st\xe2\x80\xa6 https://t.co/HTs3mYlGOG',44,9
938409211008036866,2017-12-06,b'Read favorite career moments from some of our team members who have worked at Caterpillar for 45 years!\xe2\x80\xa6 https://t.co/rceSCh3jzD',17,2
938234060526190599,2017-12-06,b'Cat machines help Case Snow Management tackle winter: https://t.co/q0g3fmMwU1 https://t.co/0t1CLPzc92',28,17
938125090717388801,2017-12-05,b'We were excited to speak at #WebSummit on how our digital strategy helps customers be safer and more productive.\xe2\x80\xa6 https://t.co/tr1JJIjqyU',17,8
938105213126414336,2017-12-05,b'Our machines have been working in the logging industry for over 100 years. Find out how they were used in Africa st\xe2\x80\xa6 https://t.co/QDMqS3amzA',32,5
938053370362855424,2017-12-05,"b""Congrats to our team members in Curitiba, Brazil, who recently manufactured the facility's 250,000th engine!\xe2\x80\xa6 https://t.co/Rvt6lsjuYY""",23,7
937807201258926086,2017-12-04,b'@MateoSantillan Lamentamos lo sucedido con su reloj Cat. Por favor env\xc3\xadenos un mensaje directo con sus datos para poder asistirle.',0,0
937803972307496960,2017-12-04,b'Read favorite career moments from some of our team members who have worked at Caterpillar for 45 years!\xe2\x80\xa6 https://t.co/0JcPFqMATU',11,3
