id,created_at,text,favorite_count,retweet_count
923995569810374656,2017-10-27,"b""There's a balance between concentration and collaboration. See how Steelcase applies anthropology to workplace desi\xe2\x80\xa6 https://t.co/vAUkrFCh5S""",185,71
923977459296382976,2017-10-27,b'Now available: The Invoke intelligent speaker\n\xf0\x9f\x94\x8a Premium sound by Harman/Kardon \n\xf0\x9f\x94\xb5 Voice Assistance by Cortana \n\xf0\x9f\x93\x9e Ha\xe2\x80\xa6 https://t.co/sc9bzD6pjn',600,208
923577209109041153,2017-10-26,b'@OgoNduka Awesome. \xf0\x9f\x91\x8d',4,15
923577075386273792,2017-10-26,b'@shanselman Thank you for your years of contributions. \xf0\x9f\x91\x8a',99,22
923328002758361088,2017-10-25,b'.@BGCA_Clubs is launching new ways for kids to explore both computer science and other future career opportunities. https://t.co/kgQwec4SiG',158,70
923222176555081728,2017-10-25,b'Microsoft CEO @satyanadella is about to take the stage at #GEMM17. Tune in to the livestream here:\xe2\x80\xa6 https://t.co/FSDuP4y4K7',162,80
922965773823254528,2017-10-24,"b""Satya Nadella tells @CNN he drew inspiration from Microsoft's heritage in order to transform the company's future.\nhttps://t.co/OP8m9zJSOA""",262,110
922938202012266496,2017-10-24,b'Watch Microsoft CVP @julwhite talk with @Cheddar about our investment in cybersecurity: https://t.co/9k9ZYoRBfj https://t.co/qrhbSKnSMH',116,65
922923562205351938,2017-10-24,b'What is #blockchain? The new Explanimators episode explains it all - in space. https://t.co/iY4xWlV7Kk',198,89
922855480518590464,2017-10-24,"b""#Blockchain is the next frontier for #digitaltransformation. Here's how it works. https://t.co/INsHQBJZt6""",387,215
922601922992812032,2017-10-23,b'Ariela Suster is using #technology and #design to be an agent of change in her native country of El Salvador. https://t.co/mGC0kPuT8C',143,82
922560237248196608,2017-10-23,b'#Accessibility and inclusive technologies are changing lives. Learn more about #InclusionInAction. https://t.co/3jY8aiUZo9',181,78
922539695891869696,2017-10-23,"b'""I saw my little boy read, and knew that, here was something that could change his life."" #InclusionInAction https://t.co/o1BPkapH6P'",285,111
922512648234610688,2017-10-23,b'We\xe2\x80\x99re partnering with @BGCA_Clubs to create new computer science learning opportunities for kids. https://t.co/joZLtMk2Vl',493,166
921782193432674304,2017-10-21,b'Our CEO @satyanadella shares his #HitRefresh moment that helped inspire his commitment to inclusion:\xe2\x80\xa6 https://t.co/tiz1NlssoM',438,163
921528655494356993,2017-10-21,b'Microsoft CEO @SatyaNadella asks Coach @PeteCarroll how the @Seahawks #hitrefresh every week - and every season. \xf0\x9f\x8f\x88 https://t.co/BaThmPp29B',271,97
921517604400857088,2017-10-20,b'Via @gbpressgazette: Microsoft and @Packers launch an incubator for local businesses next to Lambeau Field. https://t.co/gVjAnsRgus',415,139
921513051378946048,2017-10-20,b'Head to the heartland to discover how technology enables forward-thinking farmers to adapt to changing conditions. https://t.co/gPr90z2sVW',114,57
921495278309576704,2017-10-20,b'Say hello to the voice-activated Harman Kardon Invoke with #Cortana. https://t.co/wfSIbd6qlE',421,177
921463149743788037,2017-10-20,b'Our chief technology officer Kevin Scott reacts to #HitRefresh and reminds us that leaders need a human touch too. https://t.co/x2UyYtfC67',175,73
921150369358475264,2017-10-19,b'Watch Microsoft CEO @satyanadella discuss how technology is transforming the finserv industry at #Sibos:\xe2\x80\xa6 https://t.co/ZpV1Zep27F',146,60
921114494469783552,2017-10-19,"b'""The need for computing in our lives is only going to increase."" - @satyanadella at #Sibos'",241,110
921109977640529920,2017-10-19,"b'CEO @satyanadella is taking the stage now at #Sibos, tune in here: https://t.co/oaMSdkX2JB https://t.co/AsktfInW92'",166,76
921104682105184256,2017-10-19,b'.@satyanadella will be speaking on the financial services industry at the close of #Sibos. Tune in:\xe2\x80\xa6 https://t.co/LRwUXkox8I',125,57
920756858238902272,2017-10-18,"b'.@WiredUK sat down with Satya Nadella to discuss his tenure as CEO, empathy, AI and his new book #HitRefresh. https://t.co/rqp31ArwRj'",171,80
920711358861033472,2017-10-18,b'Expanding our partnership with @Blackbaud to scale global good through integrations &amp; innovations in #nptech.\xe2\x80\xa6 https://t.co/OEFuwBL82a',137,69
920705466010701829,2017-10-18,b'Land O\xe2\x80\x99Lakes cultivated the cloud to help forward-thinking farmers take the guesswork out of agriculture. https://t.co/96RAagjeXe',192,86
920290632362442752,2017-10-17,"b""Surface Book 2, #Windows10 Fall Creators Update, #MR headsets and more. Here are today's announcements:  https://t.co/0PnHei7Qsu""",316,171
920169597545758720,2017-10-17,"b""CEO Satya Nadella sat down for lunch with the @FT at Lord's Cricket Ground. #HitRefresh https://t.co/1C5TeeoJxw""",181,74
919992004452401152,2017-10-16,"b'This week at #Sibos, discover how the financial services industry drives innovation and transforms experiences. https://t.co/AY3KF616u7'",98,43
919976218841178112,2017-10-16,b'Via @businessinsider: A pair of big companies explain why they joined the cloud. \n https://t.co/B570VRVibU',89,44
918515495749369856,2017-10-12,"b"".@theSkimm is disrupting traditional news media and putting their 6 million readers first. Here's how. https://t.co/L8d0oCCSaZ""",148,53
918512209935978496,2017-10-12,"b""@Austin_K72 We've got your back \xf0\x9f\x93\x9d""",6,14
918511180381065216,2017-10-12,b'@itsflynn Excellent \xf0\x9f\x91\x8f',1,16
918510573838655491,2017-10-12,b'@HamiltonOfiyai Happy to hear it.',3,15
918201894371250176,2017-10-11,b'@Fantom_Phreak Happy reading \xf0\x9f\x93\x96',4,14
918197052261072896,2017-10-11,b'Chief people officer Kathleen Hogan shares thoughts about our cultural transformation in the context of #HitRefresh.https://t.co/1uNtImgphB',123,75
917807398500237312,2017-10-10,"b'""He talks a lot about empathy and mindfulness. Those who know him say he means it.""\n\n- @AP on #HitRefresh, out now. https://t.co/TCPfzZ27QU'",259,108
917462116054925312,2017-10-09,b'The #XboxOneX is a story of wanting (and getting) it all. https://t.co/pLWTAYCD8m',549,177
917095012432715776,2017-10-08,b'.@melindagates shares her #HitRefresh moment: https://t.co/pHRwiNokBA',300,74
916426624295256064,2017-10-06,"b"".@sequencecollect and young artists in El Salvador rebuild communities. We're developing 3D + #AR web tools to show\xe2\x80\xa6 https://t.co/DYgcYMdnio""",199,81
916413997892608000,2017-10-06,"b'Congratulations, @satyanadella, for #HitRefresh making the @nytimes bestseller list. \xf0\x9f\x8e\x89 Pick up a copy today:\xe2\x80\xa6 https://t.co/1ZlAKwnF9m'",402,131
916396200265359361,2017-10-06,"b'Our EVP of Worldwide Commercial Business, @JudsonAlthoff, shares the moment he decided to #HitRefresh. https://t.co/9W8PFgZVLS'",93,39
916367713001283585,2017-10-06,"b'Heather Shapiro joined Microsoft after interviewing at Grace Hopper, and now is one of our #GHC17 ambassadors:\xe2\x80\xa6 https://t.co/3WMobkoas3'",191,65
916344684183613440,2017-10-06,b'Water is a precious resource. The @MSCloud is helping @Ecolab to conserve billions of gallons every year. https://t.co/VN3vrQHXev',296,121
916025827300564992,2017-10-05,"b'Edaena Salinas is an engineer, host of \xe2\x80\x9cThe Women in Tech Show"" podcast, and one of our ambassadors at #GHC17:\xe2\x80\xa6 https://t.co/oMak1t8X22'",210,68
915983014890430466,2017-10-05,b'@autumndejean_ Auto-save success \xf0\x9f\x91\x8a',4,19
915972301660733440,2017-10-05,b'How the space race launched #STEM education. https://t.co/worQTeTT3E',1225,405
915947332528566272,2017-10-05,b'Join us in our booth at #GHC17 to network with women in tech + learn about #MicrosoftLife. Follow @MicrosoftWomen f\xe2\x80\xa6 https://t.co/0y4phDS2Fr',194,86
915415259992563713,2017-10-04,"b"".@WiredUK takes you inside @satyanadella's office to talk cricket, AI, and Microsoft's future. https://t.co/tyUulS1hvP""",346,113
915309033313013760,2017-10-03,"b""There's a path for women in tech. Meet two of the women from Microsoft who are heading to #GHC17 this week.\xe2\x80\xa6 https://t.co/mTBTVtjytI""",624,1175
915277361817387008,2017-10-03,"b""Today we're sharing our vision for #mixedreality, and unveiling a @Windows Mixed Reality headset from Samsung. https://t.co/Uf4xZekv3o""",582,343
914197574164156416,2017-09-30,b'Weekend read: Microsoft CTO @kevin_scott recaps our announcements from #MSIgnite\nhttps://t.co/t9nVXqJ334',248,107
913893235541417984,2017-09-29,b'@expta Glad to hear you had a great time \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f',2,19
913874552702111744,2017-09-29,b'Via @WSJMag: A rare joint interview with @BillGates and Microsoft CEO @SatyaNadella. https://t.co/QcSPwnewOd',215,84
913841544901181440,2017-09-29,"b'#AI should help humans, Satya Nadella tells @technology in a discussion about his book, #HitRefresh. https://t.co/PSVN56HOv3'",300,166
913536811007225856,2017-09-28,b'.@WSJMag sat down for a rare joint interview with Microsoft CEO Satya Nadella and Bill Gates to discuss #HitRefresh.https://t.co/TdIF8rOo6F',239,83
