id,created_at,text,favorite_count,retweet_count
937821320557064192,2017-12-04,"b'""Hosted by two men currently behind bars, this podcast is unlike anything you\xe2\x80\x99ve ever heard.""\n@earhustlesq is #3 on\xe2\x80\xa6 https://t.co/PfIjYs6lyL'",9,8
937820068028743681,2017-12-04,"b'""The year\xe2\x80\x99s most fascinating binge sensation chronicled the eccentric life of an Alabama clockmaker.""\n@stownpodcast\xe2\x80\xa6 https://t.co/bFkObjxsPf'",11,3
937818814229700608,2017-12-04,"b'""@PodSaveAmerica has established itself as a vital salve for the particularly, precariously anxious among us.""\n#1 o\xe2\x80\xa6 https://t.co/Pc7C2YI56e'",10,3
937811261508681728,2017-12-04,b'.@EW has picked The 10 Best Podcasts of 2017. What an exciting year!\nSee the full list here: https://t.co/16mBoB6g3V https://t.co/HHqQoC5vuf',30,7
937413639711191040,2017-12-03,"b'What commercials were we watching in the 80s and 90s? @RBTVpod dives into the classics like Creepy Crawlers, Micro\xe2\x80\xa6 https://t.co/d2ODYHkkAK'",19,4
937019793349185536,2017-12-02,"b'All episodes of the gripping @DeadlyManners are now available. The fantastic murder-mystery starring @levarburton,\xe2\x80\xa6 https://t.co/NXrZOKUMxS'",61,9
936734157715263489,2017-12-01,"b"".@megynkelly talks about her career, the media, and working with Roger Ailes &amp; Matt Lauer on @BusinessInsider's Suc\xe2\x80\xa6 https://t.co/uRSwuQ2etF""",11,5
936648600234479616,2017-12-01,"b'.@MarieKondo, author of The Life-Changing Magic of Tidying Up, shares tips to de-clutter your life and find joy on\xe2\x80\xa6 https://t.co/WW1IAq90W2'",52,7
936356673568026624,2017-11-30,"b""Let's talk \xf0\x9f\x8f\x80!\n@jaymohr37, @AaronLarsuel, and @fryfry42 discuss all things Purple &amp; Gold on America's Lakers Podcast\xe2\x80\xa6 https://t.co/m2nekXpHU8""",12,6
936295019039920128,2017-11-30,"b'.@AndrewJenks explores the life, death, and legacy of Princess Diana and how she changed the world with action on W\xe2\x80\xa6 https://t.co/uNJo92JF2B'",21,10
935916310705442816,2017-11-29,b'Happy Birthday @AnnaKFaris! \xf0\x9f\x8e\x82\xf0\x9f\x8e\x89\nThank you for all the excellent advice and hilarious moments in @unqualified.\xe2\x80\xa6 https://t.co/UWWsqBE8mL',155,16
935646999352872960,2017-11-28,"b""Prepare for more sports stories like you've never heard before. Don't miss the second season of @30for30 Podcasts.\xe2\x80\xa6 https://t.co/Oc32KkMA8O""",11,2
935555141184507906,2017-11-28,"b""Want to make an app for iPhone or iPad, but don't know where to start? This video lecture series from @Stanford tea\xe2\x80\xa6 https://t.co/I4lYR7yieT""",56,26
935319839752753157,2017-11-28,b'.@jonathanfields has an enlightening conversation with @tferriss about what really matters on #GoodLifeProject.\xe2\x80\xa6 https://t.co/l2Io92qRGd',58,10
935289643234480129,2017-11-27,b'Keep up with your favorite teams on Season Ticket. @BostonGlobe sports columnist @cgasper brings you daily updates\xe2\x80\xa6 https://t.co/dnz8ojDQGz',9,5
934829108638486528,2017-11-26,"b'Keep dominating your #FantasyFootball league. These podcasts give advice, injury reports, and the top #NFL news of\xe2\x80\xa6 https://t.co/F7arhr7vrJ'",8,1
934512021936144385,2017-11-25,"b""#DTR is back for season 2! @SeeJaneMarie is taking over people's @tinder profiles to offer dating advice and guidan\xe2\x80\xa6 https://t.co/TeL968hSna""",23,7
934119444615397376,2017-11-24,"b""The new @CloserShow hosted by @carvellwallace sits America on a therapist's couch to confront our history so we can\xe2\x80\xa6 https://t.co/eKNqrsyMPZ""",21,6
933457689912410112,2017-11-22,b'See what Hollywood executive Karen Sarducci has to say about podcasts like @unqualified and the threat they pose.\xe2\x80\xa6 https://t.co/KWsWMc9riH',37,11
933379577631641603,2017-11-22,b'Celebrate Thanksgiving with hyphen-America on the @mashupamerican podcast.\nhttps://t.co/r98kkHEWdn https://t.co/Vh801RBCO2',6,3
933063727758434304,2017-11-21,b'Hitting the road for the holidays? Bring these podcasts along to make that #roadtrip fly by.\nhttps://t.co/6j2OdWA4zh https://t.co/Sa5x8haKeK',35,11
932672392576593921,2017-11-20,b'Dinner at your house this year? Prep the perfect meal for the holidays with these podcasts. #HolidayCooking\xe2\x80\xa6 https://t.co/0gWBAEvaKE',35,13
932338948667596800,2017-11-19,b'Celebrated novelist Ernest J. Gaines describes his path to falling in love with literature and becoming an award-wi\xe2\x80\xa6 https://t.co/1Sk4yCXfN5',10,2
931975313751527426,2017-11-18,"b""Editor in Chief, @JeffreyGoldberg, builds on @TheAtlantic's impressive 160-year history of interviews with their ne\xe2\x80\xa6 https://t.co/kFZ7zVNKEj""",149,30
931673317265821697,2017-11-18,b'Start your weekend with some inspiring words from @shondarhimes on the @SuperSoulSunday podcast.\xe2\x80\xa6 https://t.co/m19EfC35DB',56,16
931574006402121728,2017-11-17,"b'In her book #Unqualified, @AnnaKFaris shares that she can\xe2\x80\x99t draw and her signature is sub-par. We beg to differ.\xe2\x80\xa6 https://t.co/diQA2CBdSa'",27,5
931227891458813953,2017-11-16,"b""Don't miss @JuddApatow on a special episode of Stay Tuned with @PreetBharara.\nhttps://t.co/6ayKtwb9GD https://t.co/zvQQu4Rkkm""",24,5
930967158661812224,2017-11-16,"b'.@MrTeller speaks! Hear a rare interview on the @talkingbuster podcast about comedy, magic, and his friendship with\xe2\x80\xa6 https://t.co/zvo2kJLGiy'",17,4
930608797902663680,2017-11-15,b'Septimius Severus rode into Rome at the head of an army. The Emperors of Rome podcast explores who he was &amp; how he\xe2\x80\xa6 https://t.co/0JV1aDkRiH',50,17
929800981268848641,2017-11-12,"b'Excellent advice for entrepreneurs, @mastersofscale is back for season 2. Learn how to take your business from zero\xe2\x80\xa6 https://t.co/mvUeX6QMJV'",35,11
929457460984807425,2017-11-11,b'Looking for a weekend #truecrime binge? All 6 episodes of @skscbc season 3 are here.\n\n40 years after the death of C\xe2\x80\xa6 https://t.co/morevJAuOW',41,9
929121505237176320,2017-11-10,"b'\xe2\x80\x9cHis whole world is in his lyrics.\xe2\x80\x9d\n@Gladwell &amp; @RickRubin talk to @Eminem about his new single, #WalkOnWater.\nDive\xe2\x80\xa6 https://t.co/39fVqPlAEg'",19,3
928762887258234880,2017-11-09,"b"".@rickygervais talks comedy, animals, and Twitter on a very special @kevinpollak's Chat Show.\xe2\x80\xa6 https://t.co/hQmBBHSV7A""",2,1
